00110111 00110010 00111000 00110000 00110011 00110100 00110000 00110000  ; Rua 21
00110111 00110010 00111000 00110000 00110011 00110100 00110001 00110000  ; Rua Edvan José Oliveira Matos
00110111 00110010 00111000 00110000 00110011 00110100 00110010 00110000  ; Rua Conceição José Barbosa
00110111 00110010 00111000 00110000 00110011 00110100 00110011 00110000  ; Rua Antônio de Oliveira Matos
00110111 00110010 00111000 00110000 00110011 00110100 00110100 00110000  ; Rua Olímpio Ferreira Corte
00110111 00110010 00111000 00110000 00110011 00110100 00110101 00110000  ; Rua Francisco Rodrigues Lima
00110111 00110010 00111000 00110000 00110011 00110100 00110110 00110000  ; Rua Wili Rodrigues de Queiroz
00110111 00110010 00111000 00110000 00110011 00110100 00110111 00110000  ; Rua 20
00110111 00110010 00111000 00110000 00110011 00110100 00111000 00110000  ; Avenida Goiás
00110111 00110010 00111000 00110000 00110011 00110100 00111001 00110000  ; Rua Elza da Rocha Vieira
00110111 00110010 00111000 00110000 00110011 00110101 00110000 00110000  ; Rua Azarias de Araújo Roriz
00110111 00110010 00111000 00110000 00110011 00110101 00110001 00110000  ; Avenida Brasil
00110111 00110010 00111000 00110000 00110011 00110101 00110011 00110000  ; Rua Doralide de Araújo Roriz
00110111 00110010 00111000 00110000 00110011 00110101 00110100 00110000  ; Rua Goiânia
00110111 00110010 00111000 00110000 00110011 00110101 00110101 00110000  ; Rua Ademar Simão Vieira
00110111 00110010 00111000 00110000 00110011 00110101 00110110 00110000  ; Rua 11
00110111 00110010 00111000 00110000 00110011 00110101 00110111 00110000  ; Rua 10
00110111 00110010 00111000 00110000 00110011 00110101 00111000 00110000  ; Rua Helena Vieira Jardim
00110111 00110010 00111000 00110000 00110011 00110101 00111001 00110000  ; Rua Euza D'Aparecida Roriz dos Anjos
00110111 00110010 00111000 00110000 00110011 00110110 00110001 00110000  ; Rua Edivar da Aparecida Roriz
00110111 00110010 00111000 00110000 00110100 00110000 00110001 00110000  ; Avenida Alfredo Nasser
00110111 00110010 00111000 00110000 00110100 00110000 00110010 00110000  ; Avenida Contorno
00110111 00110010 00111000 00110000 00110100 00110000 00110011 00110000  ; Rua José de Alencar
00110111 00110010 00111000 00110000 00110100 00110000 00110100 00110000  ; Rua Rui Barbosa
00110111 00110010 00111000 00110000 00110100 00110000 00110101 00110000  ; Rua Castro Alves
00110111 00110010 00111000 00110000 00110100 00110000 00110110 00110000  ; Rua Gilberto de Amado
00110111 00110010 00111000 00110000 00110100 00110000 00110111 00110000  ; Rua Gonçalves Dias
00110111 00110010 00111000 00110000 00110100 00110000 00111000 00110000  ; Rua Gregório de Matos
00110111 00110010 00111000 00110000 00110100 00110000 00111001 00110000  ; Rua Oneida Tavares
00110111 00110010 00111000 00110000 00110100 00110001 00110000 00110000  ; Avenida Olavo Bilac
00110111 00110010 00111000 00110000 00110100 00110001 00110001 00110000  ; Rua Euclides da Cunha
00110111 00110010 00111000 00110000 00110100 00110001 00110010 00110000  ; Rua Ciro dos Anjos
00110111 00110010 00111000 00110000 00110100 00110001 00110011 00110000  ; Rua Visconde de Araguaia
00110111 00110010 00111000 00110000 00110100 00110001 00110100 00110000  ; Rua Afonso Arinos
00110111 00110010 00111000 00110000 00110100 00110001 00110101 00110000  ; Rua Humberto de Campos
00110111 00110010 00111000 00110000 00110100 00110001 00110110 00110000  ; Rua Milton Campos
00110111 00110010 00111000 00110000 00110100 00110001 00110111 00110000  ; Avenida Miguel Reale
00110111 00110010 00111000 00110000 00110100 00110001 00111000 00110000  ; Rua Cassimiro de Abreu
00110111 00110010 00111000 00110000 00110100 00110001 00111001 00110000  ; Rua Fagundes Varela
00110111 00110010 00111000 00110000 00110100 00110010 00110000 00110000  ; Rua Machado de Assis
00110111 00110010 00111000 00110000 00110100 00110010 00110100 00110000  ; Rua Joaquim Nabuco
00110111 00110010 00111000 00110000 00110100 00110010 00110101 00110000  ; Rua Dom Helder Câmara
00110111 00110010 00111000 00110000 00110100 00110010 00110110 00110000  ; Rua Padre Antônio Vieira
00110111 00110010 00111000 00110000 00110100 00110010 00110111 00110000  ; Rua José Bonifácio
00110111 00110010 00111000 00110000 00110100 00110010 00111000 00110000  ; Rua Leolince
00110111 00110010 00111000 00110000 00110100 00110010 00111001 00110000  ; Rua Ataulfo Alves
00110111 00110010 00111000 00110000 00110100 00110011 00110000 00110000  ; Rua Augusto dos Anjos
00110111 00110010 00111000 00110000 00110100 00110011 00110001 00110000  ; Rua Vieira de Melo
00110111 00110010 00111000 00110000 00110100 00110011 00110010 00110000  ; Rua Brasiliense
00110111 00110010 00111000 00110000 00110100 00110011 00110010 00110101  ; Avenida Piancó
00110111 00110010 00111000 00110000 00110100 00110011 00110011 00110000  ; Rua Caldas Barbosa
00110111 00110010 00111000 00110000 00110100 00110011 00110100 00110000  ; Rua Vasco dos Reis
00110111 00110010 00111000 00110000 00110100 00110011 00110101 00110000  ; Rua José Dércio Filho
00110111 00110010 00111000 00110000 00110100 00110011 00110110 00110000  ; Rua Santiago Dantas
00110111 00110010 00111000 00110000 00110100 00110011 00110111 00110000  ; Rua Júlio Castilho
